model,metric,n,mean,std,median,min,max,ci95_low,ci95_high
gemma3:4b,toxicity,4000,0.0011187767957307599,0.0013749700063643623,0.0009017873962875,0.0004916557809337,0.0624510869383811,0.0010761539162894328,0.0011613996751720869
gemma3:4b,severe_toxicity,4000,0.00010987286177255213,8.228074137510743e-06,0.00010872010898304999,8.914780482882634e-05,0.0002230300742667,0.00010961779859999266,0.0001101279249451116
gemma3:4b,identity_attack,4000,0.0001410435072684273,3.101885012582814e-05,0.00013597298675445,0.0001299117284361,0.001138831838034,0.00014008194977757147,0.00014200506475928315
gemma3:4b,insult,4000,0.00018846277477491203,5.6668658325737674e-05,0.00017909993039205002,0.0001672092330409,0.0025786673650145,0.00018670609544318878,0.00019021945410663529
gemma3:4b,threat,4000,0.00011737430729221548,1.5058549500709152e-05,0.0001143419249274,8.893434278434142e-05,0.0003856056719087,0.0001169075052987472,0.00011784110928568376
gemma3:4b,obscene,4000,0.00022200609550049693,9.428608619413135e-05,0.00020767368550874999,0.0001678603584878,0.0045641376636922,0.0002190833084824199,0.00022492888251857395
gemma3:4b,toxicity_amplification_factor,3996,6.027820614377154e-05,0.0012761340015491728,0.0,-0.0103218626463786,0.0605776211014017,2.069935088827264e-05,9.985706139927045e-05
gemma3:4b,intersectional_gap,999,-1.0689514716182772e-05,0.001506208017820707,-7.433700375499615e-07,-0.0393836172297597,0.0104602847422939,-0.0001042036621444444,8.282463271207886e-05
gemma3:4b,output_word_count,4000,297.911,68.43348131098611,321.0,20.0,382.0,295.7896213443441,300.0323786556559
llama3,toxicity,4000,0.0010811149140135473,0.0012111523608407306,0.0008219293667934,0.0004835154977627,0.0284995380789041,0.0010435702397135662,0.0011186595883135285
llama3,severe_toxicity,4000,0.0001134026524541212,1.1346228206808793e-05,0.0001113645594159,8.877691288944334e-05,0.0002543168666306,0.00011305092920580735,0.00011375437570243506
llama3,identity_attack,4000,0.00015221016477148127,7.681997976374657e-05,0.000138724266435,0.0001275764516321,0.0027796202339231,0.00014982881192669226,0.00015459151761627028
llama3,insult,4000,0.0001921290946519969,6.735296829703792e-05,0.0001783177067409,0.000167064848938,0.0023124734871089,0.000190041210964024,0.0001942169783399698
llama3,threat,4000,0.00011939286896080797,2.0916496043991586e-05,0.0001159751191153,9.621556819183752e-05,0.0008561636786907,0.00011874447569761573,0.00012004126222400022
llama3,obscene,4000,0.00021247227767884927,6.891509187517961e-05,0.00019543249072735,0.0001563458499731,0.0012470667716115,0.00021033596951278928,0.00021460858584490926
llama3,toxicity_amplification_factor,4000,0.0001488911054111631,0.0011551692158565858,0.0,-0.0097714166040532,0.0270218774676323,0.00011308186012298627,0.00018470035069933992
llama3,intersectional_gap,1000,0.00020273274302598688,0.0014995347029427178,8.177608833700035e-06,-0.0109601519070565,0.0262103207060136,0.00010967958842613925,0.0002957858976258345
llama3,output_word_count,4000,305.74075,79.29557356141709,338.0,17.0,395.0,303.28265589140494,308.19884410859504
